Match %,Title,Company,Location,Apply URL,LinkedIn Contacts,Applied,Status,Notes
42%,Senior Site Reliability Engineer Senior Manager,Accenture Federal Services,Remote,https://remoteOK.com/remote-jobs/remote-senior-site-reliability-engineer-senior-manager-accenture-federal-services-1130102,https://www.linkedin.com/search/results/people/?keywords=Senior%20Site%20Reliability%20Engineer%20Senior%20Manager%20Accenture%20Federal%20Services&origin=GLOBAL_SEARCH_HEADER,,,
42%,Solutions Engineer,Lumana,Remote,https://remoteOK.com/remote-jobs/remote-solutions-engineer-lumana-1130096,https://www.linkedin.com/search/results/people/?keywords=Solutions%20Engineer%20Lumana&origin=GLOBAL_SEARCH_HEADER,,,
41%,Quantitative Research Team Lead (Completed),Apexver,Remote,https://remotive.com/remote-jobs/software-development/quantitative-research-team-lead-completed-2088533,https://www.linkedin.com/search/results/people/?keywords=Quantitative%20Research%20Team%20Lead%20%28Completed%29%20Apexver&origin=GLOBAL_SEARCH_HEADER,,,
40%,Senior DevOps Engineer,Marketerx,Remote,https://remotive.com/remote-jobs/devops/senior-devops-engineer-2070150,https://www.linkedin.com/search/results/people/?keywords=Senior%20DevOps%20Engineer%20Marketerx&origin=GLOBAL_SEARCH_HEADER,,,
40%,Senior Python Backend Developer,SKYCATCHFIRE,Remote,https://remotive.com/remote-jobs/software-development/senior-python-backend-developer-2088624,https://www.linkedin.com/search/results/people/?keywords=Senior%20Python%20Backend%20Developer%20SKYCATCHFIRE&origin=GLOBAL_SEARCH_HEADER,,,
40%,Senior FP&amp;A &amp; Strategic Finance,Access Softek,Remote,https://remoteOK.com/remote-jobs/remote-senior-fpampa-amp-strategic-finance-access-softek-1130128,https://www.linkedin.com/search/results/people/?keywords=Senior%20FP%26amp%3BA%20%26amp%3B%20Strategic%20Finance%20Access%20Softek&origin=GLOBAL_SEARCH_HEADER,,,
39%,Staff Software Engineer Distributed Simulation,Anduril Industries,Remote,https://remoteOK.com/remote-jobs/remote-staff-software-engineer-distributed-simulation-anduril-industries-1130076,https://www.linkedin.com/search/results/people/?keywords=Staff%20Software%20Engineer%20Distributed%20Simulation%20Anduril%20Industries&origin=GLOBAL_SEARCH_HEADER,,,
39%,Senior Web Developer,Coin Market Cap Ltd,Remote,https://remoteOK.com/remote-jobs/remote-senior-web-developer-coin-market-cap-ltd-1130135,https://www.linkedin.com/search/results/people/?keywords=Senior%20Web%20Developer%20Coin%20Market%20Cap%20Ltd&origin=GLOBAL_SEARCH_HEADER,,,
38%,Civil Development Engineer,Intersect,Remote,https://remoteOK.com/remote-jobs/remote-civil-development-engineer-intersect-1130109,https://www.linkedin.com/search/results/people/?keywords=Civil%20Development%20Engineer%20Intersect&origin=GLOBAL_SEARCH_HEADER,,,
37%,Staff Frontend Engineer,Alpaca,Remote,https://remoteOK.com/remote-jobs/remote-staff-frontend-engineer-alpaca-1130038,https://www.linkedin.com/search/results/people/?keywords=Staff%20Frontend%20Engineer%20Alpaca&origin=GLOBAL_SEARCH_HEADER,,,
37%,"Senior Software Engineer, Global Contractor",Jump,Remote,https://remotive.com/remote-jobs/software-development/senior-software-engineer-global-contractor-2088534,https://www.linkedin.com/search/results/people/?keywords=Senior%20Software%20Engineer%2C%20Global%20Contractor%20Jump&origin=GLOBAL_SEARCH_HEADER,,,
36%,Senior Data Engineer,Lalamove,Remote,https://remoteOK.com/remote-jobs/remote-senior-data-engineer-lalamove-1130136,https://www.linkedin.com/search/results/people/?keywords=Senior%20Data%20Engineer%20Lalamove&origin=GLOBAL_SEARCH_HEADER,,,
36%,Staff Software Engineer,Acquia,Remote,https://remoteOK.com/remote-jobs/remote-staff-software-engineer-acquia-1130091,https://www.linkedin.com/search/results/people/?keywords=Staff%20Software%20Engineer%20Acquia&origin=GLOBAL_SEARCH_HEADER,,,
36%,Product Developer / Engineer @ Fun Ecom Co | Great People & Flexible Hours,JLS Trading Co,Remote,https://remotive.com/remote-jobs/product/product-developer-engineer-fun-ecom-co-great-people-flexible-hours-2088608,https://www.linkedin.com/search/results/people/?keywords=Product%20Developer%20/%20Engineer%20%40%20Fun%20Ecom%20Co%20%7C%20Great%20People%20%26%20Flexible%20Hours%20JLS%20Trading%20Co&origin=GLOBAL_SEARCH_HEADER,,,
